"Date","Time","Identity","Internal IP Address","External IP Address","Action","Destination","Categories"
"2016-04-26","06:36:08","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:35:56","Frankfurt","10.165.154.65","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:35:50","Nashville","198.203.192.52","198.203.192.126","Blocked","mail.kmstechnologies.com","Malware"
"2016-04-26","06:35:43","BXN - (Management) ","10.165.164.113","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:35:30","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:35:23","Barbara","10.164.100.216","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:35:10","Savannah 6th Floor B Users ","10.167.16.126","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:35:06","Savannah 7th Floor A Users","10.167.7.90","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:34:59","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:34:24","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:34:23","Frankfurt","10.165.154.65","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:34:12","Savannah 7th Floor A Users","10.167.7.89","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:59","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:33:47","Frankfurt","10.165.154.107","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
